Language,Region,Language Code,COMET,CHRF++
Arabic,Egypt,ar_EG,0.527566681,18.42155426
Arabic,Saudi Arabia,ar_SA,0.539870412,19.25572723
Bulgarian,Bulgaria,bg_BG,0.702355782,38.90929989
Bengali,India,bn_IN,0.487021327,6.708469865
Catalan,Spain,ca_ES,0.762766805,51.97311096
Czech,Czechia,cs_CZ,0.671742402,37.14623719
Danish,Denmark,da_DK,0.75621711,50.081321
German,Germany,de_DE,0.80930091,54.20787135
Greek,Greece,el_GR,0.501871065,18.29965735
Spanish,Mexico,es_MX,0.825313483,62.28976546
Estonian,Estonia,et_EE,0.492988375,22.64720319
Farsi,Iran,fa_IR,0.441754641,17.71038555
Finnish,Finland,fi_FI,0.71839885,39.39552344
Filipino,Philippines,fil_PH,0.609487646,32.67879376
French,Canada,fr_CA,0.823608769,62.58843274
French,France,fr_FR,0.810679661,57.81769972
Gujarati,India,gu_IN,0.425332021,3.964511229
Hebrew,Israel,he_IL,0.449100271,18.02784419
Hindi,India,hi_IN,0.454051522,14.84275837
Croatian,Croatia,hr_HR,0.6728115,38.48422965
Hungarian,Hungary,hu_HU,0.660756196,34.39009895
Indonesian,Indonesia,id_ID,0.762086493,46.59392462
Icelandic,Iceland,is_IS,0.469894756,18.05139993
Italian,Italy,it_IT,0.843578856,59.96313688
Japanese,Japan,ja_JP,0.754715364,19.16899848
Kannada,India,kn_IN,0.471657473,5.134548343
Korean,South Korea,ko_KR,0.837586311,27.53389899
Lithuanian,Lithuania,lt_LT,0.414564571,18.7888821
Latvian,Latvia,lv_LV,0.40341831,17.21766627
Malayalam,India,ml_IN,0.462596943,8.011480849
Marathi,India,mr_IN,0.40641356,11.37280536
Dutch,Netherlands,nl_NL,0.838139131,56.28362344
Norwegian,Norway,no_NO,0.776204002,52.08664893
Punjabi,India,pa_IN,0.378393707,5.085661047
Polish,Poland,pl_PL,0.696510295,36.20887276
Portuguese,Brazil,pt_BR,0.832602481,59.33151727
Portuguese,Portugal,pt_PT,0.824847464,56.95488952
Romanian,Romania,ro_RO,0.725319277,46.37749603
Russian,Russia,ru_RU,0.811852466,47.18929629
Slovak,Slovakia,sk_SK,0.631567769,26.92640793
Slovenian,Slovenia,sl_SI,0.62568846,36.50820748
Serbian,Serbia,sr_RS,0.641454674,31.55330926
Swedish,Sweden,sv_SE,0.791885825,51.89374251
Swahili,Kenya,sw_KE,0.520987643,15.87267323
Swahili,Tanzania,sw_TZ,0.526820188,15.96961456
Tamil,India,ta_IN,0.440919682,9.910319278
Telugu,India,te_IN,0.421473077,6.275610587
Thai,Thailand,th_TH,0.493557348,13.21932224
Turkish,Turkey,tr_TR,0.504279997,20.89626304
Ukrainian,Ukraine,uk_UA,0.771452369,31.95606048
Urdu,Pakistan,ur_PK,0.42189499,11.87705884
Vietnamese,Vietnam,vi_VN,0.679732101,35.23383818
Mandarin,China,zh_CN,0.822320114,30.28030974
Mandarin,Taiwan,zh_TW,0.811276839,17.25200796
Zulu,South Africa,zu_ZA,0.42491433,15.56317491
